iter	Passed	Remaining
455	958	1143
456	962	1143
457	964	1141
458	965	1138
459	967	1136
460	969	1133
461	971	1131
462	974	1129
463	978	1130
464	980	1128
465	982	1125
466	983	1122
467	985	1120
468	987	1117
469	989	1115
470	991	1114
471	994	1111
472	995	1109
473	997	1106
474	998	1104
475	1000	1101
476	1004	1101
477	1007	1099
478	1008	1097
479	1010	1095
480	1012	1092
481	1014	1090
482	1015	1087
483	1017	1084
484	1019	1082
485	1021	1080
486	1023	1078
487	1025	1075
488	1027	1073
489	1029	1071
490	1030	1068
491	1034	1068
492	1035	1065
493	1037	1062
494	1039	1060
495	1040	1057
496	1042	1055
497	1044	1052
498	1047	1051
499	1049	1049
500	1050	1046
501	1052	1043
502	1053	1041
503	1055	1038
504	1056	1035
505	1058	1032
506	1060	1030
507	1062	1029
508	1064	1026
509	1065	1024
510	1067	1021
511	1069	1018
512	1070	1016
513	1072	1013
514	1074	1012
515	1077	1010
516	1080	1009
517	1081	1006
518	1083	1004
519	1084	1001
520	1087	999
521	1091	999
522	1092	996
523	1094	993
524	1095	991
525	1097	989
526	1099	987
527	1102	985
528	1104	983
529	1106	981
530	1108	978
531	1109	976
532	1111	974
533	1113	971
534	1115	969
535	1118	967
536	1120	965
537	1121	963
538	1122	960
539	1124	957
540	1125	955
541	1127	952
542	1129	950
543	1131	948
544	1133	946
545	1135	943
546	1136	941
547	1137	938
548	1139	936
549	1142	934
550	1144	932
551	1146	930
552	1147	927
553	1148	925
554	1150	922
555	1151	919
556	1153	917
557	1154	914
558	1156	912
559	1158	909
560	1159	907
561	1161	905
562	1163	902
563	1164	900
564	1165	897
565	1167	895
566	1169	893
567	1171	890
568	1173	888
569	1174	886
570	1176	883
571	1178	881
572	1179	878
573	1180	876
574	1182	874
575	1184	871
576	1186	869
577	1187	867
578	1189	864
579	1191	862
580	1192	860
581	1194	857
582	1195	855
583	1197	852
584	1199	850
585	1201	848
586	1203	846
587	1205	844
588	1206	841
589	1208	839
590	1210	837
591	1211	835
592	1212	832
593	1214	830
594	1217	828
595	1218	826
596	1220	823
597	1222	822
598	1224	819
599	1225	817
600	1227	814
601	1229	812
602	1231	810
603	1233	808
604	1234	806
605	1236	803
606	1237	801
607	1239	799
608	1240	796
609	1242	794
610	1244	792
611	1246	790
612	1248	788
613	1249	785
614	1251	783
615	1252	781
616	1254	778
617	1255	776
618	1257	773
619	1260	772
620	1261	770
621	1263	767
622	1264	765
623	1266	763
624	1268	760
625	1269	758
626	1276	759
627	1278	757
628	1279	754
629	1281	752
630	1282	750
631	1284	747
632	1288	746
633	1289	744
634	1291	742
635	1293	740
636	1294	737
637	1296	735
638	1297	733
639	1300	731
640	1303	729
641	1304	727
642	1305	725
643	1307	722
644	1308	720
645	1310	717
646	1311	715
647	1312	713
648	1315	711
649	1318	709
650	1320	707
651	1321	705
652	1323	703
653	1324	700
654	1326	698
655	1328	696
656	1329	694
657	1331	692
658	1333	689
659	1334	687
660	1336	685
661	1338	683
662	1339	681
663	1341	678
664	1343	676
665	1346	675
666	1348	673
667	1350	671
668	1351	668
669	1353	666
670	1354	664
671	1356	662
672	1358	659
673	1360	657
674	1362	655
675	1363	653
676	1365	651
677	1366	649
678	1368	647
679	1370	644
680	1372	642
681	1374	640
682	1376	638
683	1378	636
684	1379	634
685	1381	632
686	1383	630
687	1384	627
688	1386	625
689	1388	623
690	1390	621
691	1391	619
692	1393	617
693	1394	615
694	1396	612
695	1397	610
696	1398	608
697	1401	606
698	1403	604
699	1405	602
700	1406	600
701	1408	598
702	1410	595
703	1412	593
704	1413	591
705	1416	589
706	1418	587
707	1419	585
708	1421	583
709	1423	581
710	1424	579
711	1426	577
712	1427	574
713	1430	573
714	1432	571
715	1434	569
716	1436	567
717	1438	564
718	1439	562
719	1441	560
720	1442	558
721	1444	556
722	1445	553
723	1447	551
724	1449	549
725	1451	547
726	1453	545
727	1454	543
728	1456	541
729	1457	539
730	1459	537
731	1461	535
732	1463	532
733	1464	530
734	1465	528
735	1467	526
736	1468	524
737	1470	521
738	1472	519
739	1474	518
740	1476	516
741	1478	514
742	1479	511
743	1481	509
744	1482	507
745	1484	505
746	1485	503
747	1488	501
748	1490	499
749	1491	497
750	1493	495
751	1494	492
752	1496	490
753	1497	488
754	1499	486
755	1502	484
756	1504	483
757	1506	480
758	1507	478
759	1509	476
760	1511	474
761	1512	472
762	1514	470
763	1517	468
764	1519	466
765	1520	464
766	1522	462
767	1524	460
768	1526	458
769	1529	456
770	1531	454
771	1533	452
772	1535	450
773	1536	448
774	1537	446
775	1539	444
776	1541	442
777	1544	440
778	1546	438
779	1548	436
780	1549	434
781	1551	432
782	1553	430
783	1555	428
784	1556	426
785	1559	424
786	1560	422
787	1562	420
788	1563	418
789	1564	415
790	1566	413
791	1567	411
792	1569	409
793	1571	407
794	1573	405
795	1575	403
796	1576	401
797	1578	399
798	1580	397
799	1581	395
800	1583	393
801	1584	391
802	1587	389
803	1589	387
804	1590	385
805	1592	383
806	1593	381
807	1595	379
808	1597	377
809	1599	375
810	1604	373
811	1605	371
812	1608	369
813	1610	367
814	1611	365
815	1614	363
816	1615	361
817	1617	359
818	1618	357
819	1620	355
820	1622	353
821	1623	351
822	1625	349
823	1627	347
824	1629	345
825	1631	343
826	1633	341
827	1634	339
828	1636	337
829	1637	335
830	1639	333
831	1641	331
832	1643	329
833	1644	327
834	1646	325
835	1650	323
836	1652	321
837	1655	319
838	1656	317
839	1658	315
840	1660	313
841	1662	311
842	1663	309
843	1665	307
844	1666	305
845	1668	303
846	1670	301
847	1672	299
848	1674	297
849	1675	295
850	1677	293
851	1678	291
852	1679	289
853	1681	287
854	1682	285
855	1684	283
856	1686	281
857	1688	279
858	1689	277
859	1691	275
860	1692	273
861	1694	271
862	1696	269
863	1698	267
864	1700	265
865	1702	263
866	1704	261
867	1705	259
868	1707	257
869	1708	255
870	1710	253
871	1711	251
872	1714	249
873	1715	247
874	1717	245
875	1719	243
876	1720	241
877	1722	239
878	1723	237
879	1725	235
880	1727	233
881	1729	231
882	1731	229
883	1733	227
884	1734	225
885	1736	223
886	1738	221
887	1739	219
888	1744	217
889	1746	215
890	1748	213
891	1749	211
892	1752	209
893	1753	207
894	1758	206
895	1760	204
896	1761	202
897	1762	200
898	1764	198
899	1766	196
900	1767	194
901	1770	192
902	1772	190
903	1773	188
904	1775	186
905	1776	184
906	1778	182
907	1780	180
908	1782	178
909	1784	176
910	1786	174
911	1788	172
912	1789	170
913	1790	168
914	1792	166
915	1794	164
916	1795	162
917	1798	160
918	1800	158
919	1802	156
920	1803	154
921	1805	152
922	1807	150
923	1808	148
924	1809	146
925	1811	144
926	1813	142
927	1815	140
928	1816	138
929	1818	136
930	1820	134
931	1821	132
932	1823	130
933	1824	128
934	1826	126
935	1828	125
936	1829	123
937	1831	121
938	1833	119
939	1835	117
940	1836	115
941	1837	113
942	1839	111
943	1841	109
944	1843	107
945	1844	105
946	1846	103
947	1848	101
948	1850	99
949	1851	97
950	1853	95
951	1855	93
952	1857	91
953	1858	89
954	1860	87
955	1862	85
956	1864	83
957	1865	81
958	1868	79
959	1869	77
960	1871	75
961	1873	74
962	1875	72
963	1876	70
964	1878	68
965	1880	66
966	1881	64
967	1883	62
968	1885	60
969	1887	58
970	1889	56
971	1890	54
972	1892	52
973	1893	50
974	1895	48
975	1896	46
976	1898	44
977	1899	42
978	1901	40
979	1902	38
980	1903	36
981	1905	34
982	1906	32
983	1908	31
984	1909	29
985	1911	27
986	1913	25
987	1914	23
988	1916	21
989	1918	19
990	1919	17
991	1920	15
992	1922	13
993	1924	11
994	1925	9
995	1928	7
996	1929	5
997	1931	3
998	1932	1
999	1934	0
